n,k,m,distance
3.0,5.0,25.0,10.97750003
3.0,5.0,26.0,11.04250003
3.0,5.0,27.0,11.14400003
3.0,5.0,28.0,11.20500003
3.0,5.0,29.0,11.27200003
3.0,5.0,30.0,11.33050003
3.0,6.0,1.0,5.11400001
3.0,6.0,2.0,6.77400001
3.0,6.0,3.0,7.67550002
3.0,6.0,4.0,8.22300002
3.0,6.0,5.0,8.67900002
3.0,6.0,6.0,9.08000002
3.0,6.0,7.0,9.44000002
3.0,6.0,8.0,9.77750002
3.0,6.0,9.0,10.07400002
3.0,6.0,10.0,10.34200002
3.0,6.0,11.0,10.59100002
3.0,6.0,12.0,10.86150002
3.0,6.0,13.0,11.07450002
3.0,6.0,14.0,11.29100002
3.0,6.0,15.0,11.53050002
3.0,6.0,16.0,11.72650002
3.0,6.0,17.0,11.88100002
3.0,6.0,18.0,12.08350002
3.0,6.0,19.0,12.24000003
3.0,6.0,20.0,12.42250003
3.0,6.0,21.0,12.58800003
3.0,6.0,22.0,12.74850003
3.0,6.0,23.0,12.89300003
3.0,6.0,24.0,13.00400003
3.0,6.0,25.0,13.11850003
3.0,6.0,26.0,13.23350003
3.0,6.0,27.0,13.36500003
3.0,6.0,28.0,13.43500003
3.0,6.0,29.0,13.54650003
3.0,6.0,30.0,13.64750003
3.0,7.0,1.0,6.14500001
3.0,7.0,2.0,8.08650001
3.0,7.0,3.0,9.16900002
3.0,7.0,4.0,9.78750002
3.0,7.0,5.0,10.27850002
3.0,7.0,6.0,10.69050002
3.0,7.0,7.0,11.09350002
3.0,7.0,8.0,11.43250002
3.0,7.0,9.0,11.74100002
3.0,7.0,10.0,12.03050002
3.0,7.0,11.0,12.28750002
3.0,7.0,12.0,12.55150002
3.0,7.0,13.0,12.80650002
3.0,7.0,14.0,13.04400002
3.0,7.0,15.0,13.26950002
3.0,7.0,16.0,13.48950002
3.0,7.0,17.0,13.68950002
3.0,7.0,18.0,13.88650002
3.0,7.0,19.0,14.09050002
3.0,7.0,20.0,14.32000002
3.0,7.0,21.0,14.47300003
3.0,7.0,22.0,14.66450003
3.0,7.0,23.0,14.83100003
3.0,7.0,24.0,14.98250003
3.0,7.0,25.0,15.13450003
3.0,7.0,26.0,15.26800003
3.0,7.0,27.0,15.44050003
3.0,7.0,28.0,15.52650003
3.0,7.0,29.0,15.67600003
3.0,7.0,30.0,15.80150003
3.0,8.0,1.0,7.20700001
3.0,8.0,2.0,9.44850001
3.0,8.0,3.0,10.66500002
3.0,8.0,4.0,11.35600002
3.0,8.0,5.0,11.91850002
3.0,8.0,6.0,12.35750002
3.0,8.0,7.0,12.75450002
3.0,8.0,8.0,13.13150002
3.0,8.0,9.0,13.43550002
3.0,8.0,10.0,13.73000002
3.0,8.0,11.0,13.98050002
3.0,8.0,12.0,14.26700002
3.0,8.0,13.0,14.52100002
3.0,8.0,14.0,14.76700002
3.0,8.0,15.0,15.01950002
3.0,8.0,16.0,15.24350002
3.0,8.0,17.0,15.45450002
3.0,8.0,18.0,15.68200002
3.0,8.0,19.0,15.90750002
3.0,8.0,20.0,16.11350002
3.0,8.0,21.0,16.31000002
3.0,8.0,22.0,16.49200002
3.0,8.0,23.0,16.70450002
3.0,8.0,24.0,16.85350002
3.0,8.0,25.0,17.06750003
3.0,8.0,26.0,17.16750003
3.0,8.0,27.0,17.37850003
3.0,8.0,28.0,17.51250003
3.0,8.0,29.0,17.65700003
3.0,8.0,30.0,17.81700003
3.0,9.0,1.0,8.21400001
3.0,9.0,2.0,10.77150001
3.0,9.0,3.0,12.17350002
3.0,9.0,4.0,12.93900002
3.0,9.0,5.0,13.53900002
3.0,9.0,6.0,14.00950002
3.0,9.0,7.0,14.44000002
3.0,9.0,8.0,14.81250002
3.0,9.0,9.0,15.15450002
3.0,9.0,10.0,15.46500002
3.0,9.0,11.0,15.70150002
3.0,9.0,12.0,15.96500002
3.0,9.0,13.0,16.25000002
3.0,9.0,14.0,16.49600002
3.0,9.0,15.0,16.74700002
3.0,9.0,16.0,16.96950002
3.0,9.0,17.0,17.18500002
3.0,9.0,18.0,17.44000002
3.0,9.0,19.0,17.62350002
3.0,9.0,20.0,17.86650002
3.0,9.0,21.0,18.11900002
3.0,9.0,22.0,18.31200002
3.0,9.0,23.0,18.51350002
3.0,9.0,24.0,18.65950002
3.0,9.0,25.0,18.86750002
