n,k,m,distance
3,8,21,2.258042
3,8,22,2.2820315
3,8,23,2.3138205
3,8,24,2.336827
3,8,25,2.3649045
3,8,26,2.3850065
3,8,27,2.413546
3,8,28,2.4348
3,8,29,2.4581095
3,8,30,2.481137
3,9,1,1.026395
3,9,2,1.3431175
3,9,3,1.5184805
3,9,4,1.61327
3,9,5,1.687053
3,9,6,1.7404085
3,9,7,1.790081
3,9,8,1.8330745
3,9,9,1.8703345
3,9,10,1.904317
3,9,11,1.9298245
3,9,12,1.957609
3,9,13,1.987905
3,9,14,2.013497
3,9,15,2.042463
3,9,16,2.0669685
3,9,17,2.088981
3,9,18,2.120565
3,9,19,2.1400845
3,9,20,2.1701835
3,9,21,2.195555
3,9,22,2.217115
3,9,23,2.2442025
3,9,24,2.2652755
3,9,25,2.2913575
3,9,26,2.3094725
3,9,27,2.335195
3,9,28,2.3560795
3,9,29,2.376236
3,9,30,2.401976
3,10,1,1.026395
3,10,2,1.3438885
3,10,3,1.517653
3,10,4,1.60976
3,10,5,1.6819495
3,10,6,1.7356185
3,10,7,1.7819375
3,10,8,1.823825
3,10,9,1.856572
3,10,10,1.8890225
3,10,11,1.913952
3,10,12,1.943404
3,10,13,1.9679945
3,10,14,1.991434
3,10,15,2.0153125
3,10,16,2.040495
3,10,17,2.05943
3,10,18,2.0835865
3,10,19,2.1051455
3,10,20,2.1316245
3,10,21,2.1528965
3,10,22,2.173233
3,10,23,2.198683
3,10,24,2.219383
3,10,25,2.239578
3,10,26,2.258782
3,10,27,2.2816435
3,10,28,2.298721
3,10,29,2.317365
3,10,30,2.3391445
4,2,1,1.026394
4,2,2,1.5938965
4,2,3,2.0031585
4,2,4,2.33939
4,2,5,2.63291
4,2,6,2.880169
4,2,7,3.105656
4,2,8,3.304177
4,2,9,3.4312245
4,2,10,3.548302
4,2,11,3.6462505
4,2,12,3.731862
4,2,13,3.776544
4,2,14,3.8398505
4,2,15,3.8748885
4,2,16,3.901737
4,2,17,3.921561
4,2,18,3.944412
4,2,19,3.9603945
4,2,20,3.9650805
4,2,21,3.970435
4,2,22,3.97654
4,2,23,3.985859
4,2,24,3.990555
4,2,25,3.991987
4,2,26,3.992519
4,2,27,3.995034
4,2,28,3.9947825
4,2,29,3.9964295
4,2,30,3.9984845
4,3,1,1.026394
4,3,2,1.396888
4,3,3,1.6349345
4,3,4,1.842432
4,3,5,2.031274
4,3,6,2.2090905
4,3,7,2.3755785
4,3,8,2.530714
4,3,9,2.6621345
4,3,10,2.7877915
4,3,11,2.900484
4,3,12,3.007982
4,3,13,3.094354
4,3,14,3.1963795
4,3,15,3.270173
