n,k,m,distance
4,2,5,3.04500003
4,2,6,3.27200003
4,2,7,3.44800004
4,2,8,3.60200004
4,2,9,3.67950004
4,2,10,3.77400004
4,2,11,3.82250004
4,2,12,3.87500004
4,2,13,3.89600004
4,2,14,3.92750004
4,2,15,3.94750004
4,2,16,3.95600004
4,2,17,3.96900004
4,2,18,3.97600004
4,2,19,3.98350004
4,2,20,3.98550004
4,2,21,3.98500004
4,2,22,3.98800004
4,2,23,3.99500004
4,2,24,3.99700004
4,2,25,3.99700004
4,2,26,3.99700004
4,2,27,3.99600004
4,2,28,3.99850004
4,2,29,3.99950004
4,2,30,3.99950004
4,3,1,2.02000001
4,3,2,2.87200001
4,3,3,3.39750002
4,3,4,3.88500002
4,3,5,4.35800002
4,3,6,4.77650002
4,3,7,5.16850003
4,3,8,5.52800003
4,3,9,5.81900003
4,3,10,6.09800003
4,3,11,6.34400003
4,3,12,6.55350003
4,3,13,6.70500003
4,3,14,6.88900004
4,3,15,6.99650004
4,3,16,7.12600004
4,3,17,7.21800004
4,3,18,7.33650004
4,3,19,7.41700004
4,3,20,7.49550004
4,3,21,7.53950004
4,3,22,7.59900004
4,3,23,7.67050004
4,3,24,7.69050004
4,3,25,7.73200004
4,3,26,7.75600004
4,3,27,7.79350004
4,3,28,7.82850004
4,3,29,7.84150004
4,3,30,7.87050004
4,4,1,3.07100001
4,4,2,4.16300001
4,4,3,4.80500002
4,4,4,5.30100002
4,4,5,5.77400002
4,4,6,6.22100002
4,4,7,6.65450002
4,4,8,7.07700002
4,4,9,7.42750003
4,4,10,7.82150003
4,4,11,8.14450003
4,4,12,8.46850003
4,4,13,8.72450003
4,4,14,9.00900003
4,4,15,9.23150003
4,4,16,9.47100003
4,4,17,9.66850003
4,4,18,9.87200003
4,4,19,10.04850003
4,4,20,10.22050004
4,4,21,10.34050004
4,4,22,10.48350004
4,4,23,10.62300004
4,4,24,10.73450004
4,4,25,10.82550004
4,4,26,10.90750004
4,4,27,11.01050004
4,4,28,11.10200004
4,4,29,11.16350004
4,4,30,11.25400004
4,5,1,4.08900001
4,5,2,5.46600001
